train_end_year,theta,b_star_0,b_star_1,b_star_2,b_star_0_err,b_star_1_err,b_star_2_err,b0,b1,b2,b0_err,b1_err,b2_err,c0,c1,c2,gamma0,gamma1,gamma2
2013,0.9239895907907378,1.0535253239724895,0.2130254820020674,0.6133209791007264,0.04060443572778963,0.05743205725545217,0.0574146288196245,0.7359281128120881,0.12923042012477415,0.4278019077714593,0.0265920073731495,0.03761249418536098,0.037601059901161506,1.614325221876714,0.27775600269537587,0.9401428035803261,0.8735624502518454,0.1550281080678605,0.5072969041459697
2014,0.9396826200111504,1.0469532904091268,0.20557967940396624,0.5896565398376974,0.03724923360761577,0.0526855660370451,0.05267117569197693,0.729524982148253,0.1205354376124033,0.41481673680830566,0.02438264810334682,0.03448698952590078,0.03447755309715264,1.6181079299309773,0.26177561184897297,0.9216879821179014,0.8609864093856373,0.14376940521940568,0.4891082831258993
2015,0.9368864571977086,1.0415403361857076,0.19096214977844694,0.5783657360487112,0.03528668407133897,0.049909103545564666,0.04989671005467234,0.7263733359337318,0.11375654038913005,0.40686932897321304,0.023200535114862687,0.0328145926968767,0.032806429622895476,1.607948311523615,0.24635503423580457,0.9021929691881874,0.8581340349038123,0.13588728873442185,0.48023630315621724
2016,0.9523736875786272,1.0571656185256557,0.19471498979269106,0.5948064023799853,0.033763571395628245,0.047759749050139494,0.047738049646035674,0.7345365086379481,0.11448054943082032,0.41919373873887,0.02201688862726498,0.03114367980287149,0.031129483574864704,1.6438034721993902,0.25053774514816085,0.93964141770812,0.8630034059312874,0.1359805654175047,0.4920865792619815
2017,0.9599156975789458,1.0524671368180134,0.2040836925000658,0.6109442142294067,0.03278979583888876,0.04638149990809495,0.04636204601535363,0.7292004887432316,0.11802369117840367,0.4275167250126097,0.02115364852136597,0.029922071621695894,0.029909480318588946,1.640489766883158,0.25973798741374843,0.963376755515777,0.8544967912394411,0.13978026903739046,0.500549450096853
2018,0.9759824974959544,1.0639152042964137,0.21432740944411519,0.6300464727181286,0.03244629161977148,0.045894922867823575,0.045877046704362975,0.7346507349087222,0.12541779176465395,0.43960587008556595,0.020959569906824974,0.029647100133349938,0.02963551478208973,1.6713330895012317,0.27935308358841354,1.001800855434025,0.8562310767812512,0.14762839792173446,0.511924933232472
2019,0.9700478624221603,1.0558534614613717,0.19371010557604157,0.5925507152284463,0.03090644948208725,0.043716266017166834,0.04370037258145919,0.7308422780449222,0.120902800114844,0.415243995082532,0.020101088858923644,0.028432417333253582,0.028422046686420736,1.6558305999700582,0.2682909737634947,0.9424284156887489,0.8534788148677186,0.14258638438723728,0.48449872457956283
2020,0.9696274520173942,1.0458163830064555,0.17367872236059317,0.5734719949822783,0.029510314643501963,0.04174453288075686,0.041723238793954134,0.7250182031618435,0.11064588488877816,0.4052937642382938,0.01932587931913632,0.027337928307180886,0.02732391117140293,1.642155189222493,0.2451149178363127,0.9194772328057855,0.8467969764087467,0.13059494953951176,0.47298018558135474
2021,0.9791564355445225,1.0382160386489565,0.15944529491577886,0.5707462837727112,0.028175714915043965,0.0398560451484651,0.03983690887329862,0.7175026002750999,0.10118668262771013,0.40051221785464597,0.018441792407576506,0.026086927100700354,0.02607433725446021,1.6359162552352473,0.22526058818030378,0.914542378073017,0.8353702206560546,0.11912380835410244,0.46595810594392517
2022,0.9669077986406787,1.0213446690099026,0.14764270091704512,0.5553115589570383,0.026913010601285287,0.03806937567591215,0.038052111554922774,0.7078434623673127,0.09792816448593054,0.38853392738067616,0.017746933773695968,0.025103675287084015,0.025092232275197225,1.6002237661822551,0.21612180110580748,0.879679605395708,0.8274955318552192,0.11579939815155754,0.4538624116477106
